,Channel,Light_status,mean_sleep_per_ind,Line,Genotype1,Genotype2,Sex
488,adj_Monitor62_ch23,Night,0.799642573471009,32372,0,1,F
489,adj_Monitor69_ch27,Night,0.889793486894361,55690-32372,1,1,F
490,adj_Monitor3_ch15,Night,0.916004765687053,64498,1,0,M
491,adj_Monitor77_ch32,Night,0.856632247815727,64498-32372,1,1,F
492,adj_Monitor68_ch1,Night,0.902899126290707,55690-32372,1,1,M
493,adj_Monitor77_ch21,Night,0.818308181096108,64498-32372,1,1,F
494,adj_Monitor66_ch15,Night,0.923550436854647,32372,0,1,M
495,adj_Monitor77_ch20,Night,0.673947577442415,64498-32372,1,1,F
496,adj_Monitor68_ch30,Night,0.895750595710882,55690-32372,1,1,M
497,adj_Monitor69_ch12,Night,0.906274821286736,55690-32372,1,1,F
498,adj_Monitor68_ch23,Night,0.898530579825258,55690-32372,1,1,M
499,adj_Monitor20_ch24,Night,0.926131850675139,64498,1,0,F
500,adj_Monitor62_ch5,Night,0.832605242255758,32372,0,1,F
501,adj_Monitor68_ch22,Night,0.861795075456712,55690-32372,1,1,M
502,adj_Monitor1_ch26,Night,0.960285941223193,tripsc,0,0,M
503,adj_Monitor69_ch16,Night,0.905281969817315,55690-32372,1,1,F
504,adj_Monitor62_ch9,Night,0.79527402700556,32372,0,1,F
505,adj_Monitor68_ch19,Night,0.916401906274821,55690-32372,1,1,M
506,adj_Monitor70_ch11,Night,0.891580619539317,64498-32372,1,1,M
507,adj_Monitor77_ch24,Night,0.719221604447975,64498-32372,1,1,F
508,adj_Monitor70_ch29,Night,0.76032565528197,64498-32372,1,1,M
509,adj_Monitor77_ch30,Night,0.973590150913423,64498-32372,1,1,F
510,adj_Monitor77_ch23,Night,0.848888006354249,64498-32372,1,1,F
511,adj_Monitor62_ch26,Night,0.777005559968229,32372,0,1,F
512,adj_Monitor21_ch18,Night,0.869936457505957,55690,1,0,F
513,adj_Monitor66_ch6,Night,0.912033359809373,32372,0,1,M
514,adj_Monitor3_ch26,Night,0.902700555996823,64498,1,0,M
515,adj_Monitor22_ch12,Night,0.900516282764098,55690,1,0,M
516,adj_Monitor66_ch29,Night,0.902700555996823,32372,0,1,M
517,adj_Monitor68_ch24,Night,0.84154090548054,55690-32372,1,1,M
518,adj_Monitor1_ch21,Night,0.927323272438443,tripsc,0,0,M
519,adj_Monitor2_ch6,Night,0.912231930103257,tripsc,0,0,F
520,adj_Monitor70_ch24,Night,0.916004765687053,64498-32372,1,1,M
521,adj_Monitor22_ch11,Night,0.860405083399523,55690,1,0,M
522,adj_Monitor1_ch20,Night,0.926131850675139,tripsc,0,0,M
523,adj_Monitor68_ch29,Night,0.891382049245433,55690-32372,1,1,M
524,adj_Monitor21_ch32,Night,0.89813343923749,55690,1,0,F
525,adj_Monitor20_ch12,Night,0.94241461477363,64498,1,0,F
526,adj_Monitor20_ch25,Night,0.780579825258141,64498,1,0,F
527,adj_Monitor21_ch12,Night,0.935861795075457,55690,1,0,F
528,adj_Monitor3_ch32,Night,0.886616362192216,64498,1,0,M
529,adj_Monitor21_ch1,Night,0.884034948371724,55690,1,0,F
530,adj_Monitor62_ch32,Night,0.858617950754567,32372,0,1,F
531,adj_Monitor68_ch15,Night,0.905083399523431,55690-32372,1,1,M
532,adj_Monitor68_ch4,Night,0.943010325655282,55690-32372,1,1,M
533,adj_Monitor20_ch19,Night,0.88780778395552,64498,1,0,F
534,adj_Monitor66_ch14,Night,0.90945194598888,32372,0,1,M
535,adj_Monitor62_ch20,Night,0.75933280381255,32372,0,1,F
536,adj_Monitor1_ch15,Night,0.95571882446386,tripsc,0,0,M
537,adj_Monitor77_ch18,Night,0.884233518665608,64498-32372,1,1,F
538,adj_Monitor3_ch12,Night,0.827442414614774,64498,1,0,M
539,adj_Monitor1_ch32,Night,0.917990468625894,tripsc,0,0,M
540,adj_Monitor2_ch31,Night,0.932684670373312,tripsc,0,0,F
541,adj_Monitor68_ch18,Night,0.796862589356632,55690-32372,1,1,M
542,adj_Monitor66_ch32,Night,0.799046862589357,32372,0,1,M
543,adj_Monitor62_ch14,Night,0.864376489277204,32372,0,1,F
544,adj_Monitor62_ch24,Night,0.793884034948372,32372,0,1,F
545,adj_Monitor62_ch6,Night,0.945591739475774,32372,0,1,F
546,adj_Monitor62_ch27,Night,0.854646544876886,32372,0,1,F
547,adj_Monitor20_ch4,Night,0.887410643367752,64498,1,0,F
548,adj_Monitor69_ch10,Night,0.923153296266878,55690-32372,1,1,F
549,adj_Monitor3_ch3,Night,0.882049245432883,64498,1,0,M
550,adj_Monitor66_ch8,Night,0.974781572676728,32372,0,1,M
551,adj_Monitor22_ch2,Night,0.853455123113582,55690,1,0,M
552,adj_Monitor2_ch15,Night,0.951151707704527,tripsc,0,0,F
553,adj_Monitor2_ch26,Night,0.944201747418586,tripsc,0,0,F
554,adj_Monitor2_ch10,Night,0.868347895154885,tripsc,0,0,F
555,adj_Monitor70_ch26,Night,0.863979348689436,64498-32372,1,1,M
556,adj_Monitor22_ch27,Night,0.843725178713264,55690,1,0,M
557,adj_Monitor2_ch5,Night,0.889197776012709,tripsc,0,0,F
558,adj_Monitor69_ch9,Night,0.944996028594122,55690-32372,1,1,F
559,adj_Monitor68_ch21,Night,0.807783955520254,55690-32372,1,1,M
560,adj_Monitor20_ch28,Night,0.891382049245433,64498,1,0,F
561,adj_Monitor20_ch5,Night,0.919380460683082,64498,1,0,F
562,adj_Monitor2_ch4,Night,0.923153296266878,tripsc,0,0,F
563,adj_Monitor69_ch3,Night,0.904686258935663,55690-32372,1,1,F
564,adj_Monitor3_ch24,Night,0.786338363780778,64498,1,0,M
565,adj_Monitor66_ch12,Night,0.905281969817315,32372,0,1,M
566,adj_Monitor70_ch6,Night,0.875297855440826,64498-32372,1,1,M
567,adj_Monitor1_ch8,Night,0.948570293884035,tripsc,0,0,M
568,adj_Monitor69_ch1,Night,0.923550436854647,55690-32372,1,1,F
569,adj_Monitor20_ch26,Night,0.889793486894361,64498,1,0,F
570,adj_Monitor66_ch25,Night,0.836576648133439,32372,0,1,M
571,adj_Monitor77_ch5,Night,0.784551231135822,64498-32372,1,1,F
572,adj_Monitor70_ch22,Night,0.962271644162033,64498-32372,1,1,M
573,adj_Monitor77_ch1,Night,0.891779189833201,64498-32372,1,1,F
574,adj_Monitor66_ch17,Night,0.884034948371724,32372,0,1,M
575,adj_Monitor66_ch31,Night,0.930698967434472,32372,0,1,M
576,adj_Monitor69_ch20,Night,0.903097696584591,55690-32372,1,1,F
577,adj_Monitor21_ch10,Night,0.897537728355838,55690,1,0,F
578,adj_Monitor3_ch25,Night,0.861596505162828,64498,1,0,M
580,adj_Monitor22_ch15,Night,0.817513899920572,55690,1,0,M
581,adj_Monitor77_ch17,Night,0.917990468625894,64498-32372,1,1,F
582,adj_Monitor1_ch22,Night,0.940230341540905,tripsc,0,0,M
583,adj_Monitor77_ch15,Night,0.90845909451946,64498-32372,1,1,F
584,adj_Monitor77_ch28,Night,0.921961874503574,64498-32372,1,1,F
585,adj_Monitor62_ch19,Night,0.878474980142971,32372,0,1,F
586,adj_Monitor22_ch6,Night,0.777005559968229,55690,1,0,M
587,adj_Monitor3_ch20,Night,0.83856235107228,64498,1,0,M
588,adj_Monitor69_ch14,Night,0.797061159650516,55690-32372,1,1,F
589,adj_Monitor62_ch18,Night,0.905281969817315,32372,0,1,F
590,adj_Monitor62_ch30,Night,0.767871326449563,32372,0,1,F
591,adj_Monitor3_ch16,Night,0.819301032565528,64498,1,0,M
592,adj_Monitor69_ch31,Night,0.905480540111199,55690-32372,1,1,F
593,adj_Monitor22_ch28,Night,0.86517077045274,55690,1,0,M
594,adj_Monitor68_ch9,Night,0.928514694201747,55690-32372,1,1,M
595,adj_Monitor21_ch11,Night,0.823669579030977,55690,1,0,F
596,adj_Monitor20_ch32,Night,0.914416203335981,64498,1,0,F
597,adj_Monitor1_ch16,Night,0.914019062748213,tripsc,0,0,M
598,adj_Monitor2_ch18,Night,0.892772041302621,tripsc,0,0,F
599,adj_Monitor70_ch18,Night,0.948570293884035,64498-32372,1,1,M
600,adj_Monitor22_ch17,Night,0.87549642573471,55690,1,0,M
601,adj_Monitor68_ch10,Night,0.919579030976966,55690-32372,1,1,M
602,adj_Monitor2_ch14,Night,0.901111993645751,tripsc,0,0,F
604,adj_Monitor66_ch24,Night,0.894757744241461,32372,0,1,M
605,adj_Monitor77_ch7,Night,0.872716441620334,64498-32372,1,1,F
606,adj_Monitor69_ch32,Night,0.892176330420969,55690-32372,1,1,F
607,adj_Monitor2_ch28,Night,0.980738681493249,tripsc,0,0,F
608,adj_Monitor2_ch23,Night,0.951945988880064,tripsc,0,0,F
609,adj_Monitor1_ch5,Night,0.947577442414615,tripsc,0,0,M
610,adj_Monitor66_ch10,Night,0.945194598888006,32372,0,1,M
611,adj_Monitor3_ch4,Night,0.69142176330421,64498,1,0,M
612,adj_Monitor21_ch15,Night,0.978157267672756,55690,1,0,F
613,adj_Monitor22_ch5,Night,0.862787926926132,55690,1,0,M
615,adj_Monitor1_ch23,Night,0.912827640984909,tripsc,0,0,M
616,adj_Monitor3_ch8,Night,0.891580619539317,64498,1,0,M
617,adj_Monitor2_ch32,Night,0.878474980142971,tripsc,0,0,F
618,adj_Monitor77_ch4,Night,0.86417791898332,64498-32372,1,1,F
619,adj_Monitor68_ch28,Night,0.914019062748213,55690-32372,1,1,M
620,adj_Monitor68_ch16,Night,0.941223193010326,55690-32372,1,1,M
621,adj_Monitor62_ch8,Night,0.870929308975377,32372,0,1,F
622,adj_Monitor68_ch2,Night,0.789118347895155,55690-32372,1,1,M
623,adj_Monitor20_ch17,Night,0.874900714853058,64498,1,0,F
624,adj_Monitor3_ch13,Night,0.794678316123908,64498,1,0,M
625,adj_Monitor77_ch22,Night,0.858419380460683,64498-32372,1,1,F
626,adj_Monitor70_ch21,Night,0.853256552819698,64498-32372,1,1,M
627,adj_Monitor77_ch3,Night,0.938641779189833,64498-32372,1,1,F
628,adj_Monitor21_ch28,Night,0.918586179507546,55690,1,0,F
629,adj_Monitor77_ch8,Night,0.919181890389198,64498-32372,1,1,F
