Monitor,Channel,Line,Sex,mean_sleep_per_ind,Light_status
Monitor8,ch24,56014,M,11.5,Day
Monitor8,ch25,56014,M,5.5,Day
Monitor8,ch26,56014,M,13,Day
Monitor8,ch27,56014,M,9.666666667,Day
Monitor8,ch28,56014,M,12.16666667,Day
Monitor8,ch29,56014,M,10.33333333,Day
Monitor8,ch3,56014,M,11.33333333,Day
Monitor8,ch30,56014,M,10.16666667,Day
Monitor8,ch31,56014,M,12.83333333,Day
Monitor8,ch32,56014,M,10.5,Day
Monitor8,ch4,56014,M,13.66666667,Day
Monitor8,ch5,56014,M,15.16666667,Day
Monitor8,ch6,56014,M,10.33333333,Day
Monitor8,ch7,56014,M,10.33333333,Day
Monitor8,ch8,56014,M,13.33333333,Day
Monitor8,ch9,56014,M,11.83333333,Day
Monitor18,ch1,80387,M,2.833333333,Night
Monitor18,ch10,80387,M,1.833333333,Night
Monitor18,ch11,80387,M,1.5,Night
Monitor18,ch12,80387,M,5.833333333,Night
Monitor18,ch13,80387,M,4.333333333,Night
Monitor18,ch14,80387,M,8,Night
Monitor18,ch15,80387,M,2.5,Night
Monitor18,ch16,80387,M,2.166666667,Night
Monitor18,ch17,80387,M,3.5,Night
Monitor18,ch18,80387,M,3,Night
Monitor18,ch19,80387,M,4.5,Night
Monitor18,ch2,80387,M,4.5,Night
Monitor18,ch20,80387,M,7,Night
Monitor18,ch21,80387,M,5.333333333,Night
Monitor18,ch22,80387,M,5.5,Night
Monitor18,ch23,80387,M,4.666666667,Night
Monitor18,ch24,80387,M,3.333333333,Night
Monitor18,ch26,80387,M,6,Night
Monitor18,ch27,80387,M,4.5,Night
Monitor18,ch28,80387,M,3.666666667,Night
Monitor18,ch29,80387,M,4.5,Night
Monitor18,ch3,80387,M,10.83333333,Night
Monitor18,ch30,80387,M,3,Night
Monitor18,ch31,80387,M,5.833333333,Night
Monitor18,ch32,80387,M,2.5,Night
Monitor18,ch4,80387,M,2.333333333,Night
Monitor18,ch5,80387,M,6.333333333,Night
Monitor18,ch6,80387,M,3.166666667,Night
Monitor18,ch7,80387,M,6,Night
Monitor18,ch8,80387,M,5.5,Night
Monitor18,ch9,80387,M,5.5,Night
Monitor22,ch1,64498,M,2.833333333,Night
Monitor22,ch10,64498,M,7.666666667,Night
Monitor22,ch11,64498,M,3.666666667,Night
Monitor22,ch12,64498,M,5.333333333,Night
Monitor22,ch13,64498,M,3.833333333,Night
Monitor22,ch14,64498,M,4.333333333,Night
Monitor22,ch15,64498,M,7.166666667,Night
Monitor22,ch16,64498,M,5.166666667,Night
Monitor22,ch17,64498,M,1.5,Night
Monitor22,ch18,64498,M,4.833333333,Night
Monitor22,ch19,64498,M,6.166666667,Night
Monitor22,ch2,64498,M,5.5,Night
Monitor22,ch20,64498,M,2,Night
Monitor22,ch21,64498,M,4,Night
Monitor22,ch22,64498,M,10.5,Night
Monitor22,ch23,64498,M,1.666666667,Night
Monitor22,ch24,64498,M,3.5,Night
Monitor22,ch25,64498,M,7.833333333,Night
Monitor22,ch26,64498,M,7.166666667,Night
Monitor22,ch27,64498,M,7.166666667,Night
Monitor22,ch28,64498,M,4.5,Night
Monitor22,ch29,64498,M,3,Night
Monitor22,ch3,64498,M,5.166666667,Night
Monitor22,ch30,64498,M,8.833333333,Night
Monitor22,ch31,64498,M,2.166666667,Night
Monitor22,ch32,64498,M,7.5,Night
Monitor22,ch4,64498,M,6.333333333,Night
Monitor22,ch5,64498,M,3.833333333,Night
Monitor22,ch6,64498,M,6.666666667,Night
