Monitor,Channel,Line,Sex,Light_Status,mean_sleep_per_ind
Monitor7,ch30,Control,F,Night,0.925393883
Monitor77,ch9,64498,F,Night,0.893883225
Monitor7,ch6,Control,F,Night,0.977062095
Monitor72,ch6,66945,F,Night,0.93721038
Monitor60,ch29,66945,M,Night,0.972428174
Monitor77,ch7,64498,F,Night,0.916821131
Monitor77,ch12,64498,F,Night,0.945319741
Monitor77,ch25,64498,F,Night,0.912418906
Monitor77,ch32,64498,F,Night,0.97381835
Monitor7,ch32,Control,F,Night,0.948331789
Monitor59,ch25,55690,F,Night,0.96107507
Monitor75,ch26,55690,M,Night,0.923076923
Monitor60,ch7,66945,M,Night,0.961770158
Monitor58,ch5,62872,F,Night,0.968489342
Monitor75,ch20,55690,M,Night,0.909175162
Monitor7,ch15,Control,F,Night,0.96686747
Monitor72,ch28,66945,F,Night,0.954124189
Monitor24,ch28,Control,M,Night,0.941612604
Monitor63,ch29,56014,F,Night,0.90523633
Monitor63,ch20,56014,F,Night,0.93952734
Monitor59,ch10,55690,F,Night,0.958758109
Monitor8,ch26,56014,M,Night,0.925625579
Monitor5,ch10,80387,F,Night,0.931649676
Monitor75,ch15,55690,M,Night,0.974513438
Monitor59,ch11,55690,F,Night,0.924930491
Monitor8,ch20,56014,M,Night,0.926784059
Monitor8,ch31,56014,M,Night,0.974281742
Monitor7,ch31,Control,F,Night,0.927942539
Monitor22,ch15,64498,M,Night,0.864457831
Monitor24,ch22,Control,M,Night,0.977988879
Monitor56,ch20,62872,M,Night,0.921455051
Monitor56,ch14,62872,M,Night,0.934661724
Monitor8,ch7,56014,M,Night,0.968489342
Monitor24,ch14,Control,M,Night,0.956672845
Monitor56,ch16,62872,M,Night,0.922845227
Monitor72,ch16,66945,F,Night,0.969879518
Monitor56,ch17,62872,M,Night,0.921455051
Monitor8,ch8,56014,M,Night,0.937905468
Monitor18,ch21,80387,M,Night,0.929564411
Monitor72,ch20,66945,F,Night,0.943929564
Monitor63,ch24,56014,F,Night,0.935356812
Monitor75,ch18,55690,M,Night,0.981232623
Monitor18,ch27,80387,M,Night,0.951343837
Monitor8,ch9,56014,M,Night,0.923308619
Monitor7,ch12,Control,F,Night,0.916589435
Monitor7,ch13,Control,F,Night,0.887395737
Monitor72,ch27,66945,F,Night,0.982159407
Monitor63,ch13,56014,F,Night,0.940917516
Monitor56,ch11,62872,M,Night,0.897822057
Monitor24,ch27,Control,M,Night,0.931881372
Monitor56,ch27,62872,M,Night,0.958989805
Monitor60,ch5,66945,M,Night,0.960379981
Monitor8,ch6,56014,M,Night,0.941612604
Monitor60,ch22,66945,M,Night,0.934198332
Monitor56,ch28,62872,M,Night,0.933039852
Monitor56,ch10,62872,M,Night,0.937673772
Monitor58,ch29,62872,F,Night,0.981927711
Monitor8,ch13,56014,M,Night,0.901529194
Monitor24,ch20,Control,M,Night,0.965245598
Monitor56,ch6,62872,M,Night,0.950880445
Monitor59,ch21,55690,F,Night,0.971269694
Monitor77,ch3,64498,F,Night,0.874884152
Monitor24,ch19,Control,M,Night,0.981000927
Monitor56,ch21,62872,M,Night,0.878591288
Monitor18,ch15,80387,M,Night,0.978220575
